,FIPS.Code,Alex.number,Population
1,19001,69,7682
2,19003,81,4029
3,19005,11,14330
4,19007,96,12884
5,19009,57,6119
6,19011,51,26076
7,19013,39,131090
8,19015,47,26306
9,19017,30,24276
10,19019,40,20958
11,19021,24,20260
12,19023,29,14867
13,19025,34,9670
14,19027,45,20816
15,19029,68,13956
16,19031,65,18499
17,19033,17,44151
18,19035,23,12072
19,19037,19,12439
20,19039,83,9286
21,19041,14,16667
22,19043,21,18129
23,19045,66,49116
24,19047,44,17096
25,19049,59,66135
26,19051,97,8753
27,19053,94,8457
28,19055,41,17764
29,19057,89,40325
30,19059,3,16667
31,19061,42,93653
32,19063,4,10302
33,19065,20,20880
34,19067,18,16303
35,19069,28,10680
36,19071,90,7441
37,19073,46,9336
38,19075,38,12453
39,19077,58,10954
40,19079,36,15673
41,19081,16,11341
42,19083,37,17534
43,19085,55,14928
44,19087,88,20145
45,19089,9,9566
46,19091,26,9815
47,19093,32,7089
48,19095,63,16355
49,19097,54,19848
50,19099,61,36842
51,19101,87,16843
52,19103,64,130882
53,19105,53,20638
54,19107,74,10511
55,19109,5,15543
56,19111,99,35862
57,19113,52,211226
58,19115,76,11387
59,19117,84,8898
60,19119,1,11581
61,19121,70,15679
62,19123,73,22381
63,19125,72,33309
64,19127,49,40648
65,19129,79,15059
66,19131,8,10776
67,19133,43,9243
68,19135,85,7970
69,19137,80,10740
70,19139,77,42745
71,19141,13,14398
72,19143,2,6462
73,19145,91,15932
74,19147,15,9421
75,19149,22,24986
76,19151,25,7310
77,19153,60,430640
78,19155,67,93158
79,19157,62,18914
80,19159,93,5131
81,19161,33,10350
82,19163,78,165224
83,19165,56,12167
84,19167,12,33704
85,19169,48,89542
86,19171,50,17767
87,19173,92,6317
88,19175,82,12534
89,19177,98,7570
90,19179,86,35625
91,19181,71,46225
92,19183,75,21704
93,19185,95,6403
94,19187,35,38013
95,19189,6,10866
96,19191,10,21056
97,19193,31,102172
98,19195,7,7598
99,19197,27,13229
